DASYLab - V 11.00.00
Worksheet name: 6by10beamlayout
Recording date     : 7/1/2016,  4:52:39 PM
Block length       : 2
Delta              : 0.2 sec.
Number of channels : 16
Date;Measurement time[hh:mm:ss];Slide Disp. Br. 0 [in];Slide Disp. Br. 2 [in];Slide Disp. Br. 3 [in];Slide Disp. Br. 4 [in];String Pot. Br. 5 [in];String Pot. Br. 6 [in];String Pot. Br. 7 [in];String Pot. Br. 8 [in];Slide Disp. Red. O [in];Slide Disp. Red. 2 [in];Slide Disp. Red. 3 [in];Slide Disp. Red. 4 [in];Slide Disp. Red. 5 [in];Slide Disp. Red. 6 [in];Slide Disp. Red. 7 [in];Slide Disp. Red. 8 [in];
7/1/2016;00:00:00.0;0.27209;0.66525;0.27853;0.27942;-0.00207;0.00046;-6.30585;-8.09509;0.44724;0.40405;0.50946;0.51248;0.60583;0.69345;0.43109;0.40146;
7/1/2016;00:00:00.2;0.27167;0.66504;0.27808;0.27936;0.00160;0.00046;-6.30920;-8.09723;0.44681;0.40387;0.50937;0.51236;0.60550;0.69354;0.43097;0.40164;
7/1/2016;00:00:00.4;0.27170;0.66525;0.27808;0.27911;0.00282;0.00061;-6.30646;-8.09509;0.44705;0.40390;0.50952;0.51242;0.60559;0.69360;0.43112;0.40134;
7/1/2016;00:00:00.6;0.27188;0.66510;0.27805;0.27911;-0.00023;-0.00031;-6.30463;-8.09631;0.44705;0.40430;0.50934;0.51227;0.60587;0.69370;0.43134;0.40137;
7/1/2016;00:00:00.8;0.27200;0.66489;0.27783;0.27924;0.00221;0.00122;-6.30463;-8.09326;0.44714;0.40417;0.50928;0.51257;0.60577;0.69373;0.43115;0.40149;
7/1/2016;00:00:01.0;0.27155;0.66495;0.27789;0.27936;0.00282;0.00137;-6.30554;-8.09845;0.44708;0.40384;0.50928;0.51248;0.60571;0.69330;0.43149;0.40158;
7/1/2016;00:00:01.2;0.27167;0.66510;0.27808;0.27936;0.00038;0.00076;-6.30676;-8.09479;0.44690;0.40405;0.50961;0.51236;0.60547;0.69348;0.43149;0.40128;
7/1/2016;00:00:01.4;0.27179;0.66513;0.27829;0.27917;0.00160;-0.00031;-6.30432;-8.09204;0.44720;0.40421;0.50931;0.51242;0.60562;0.69342;0.43118;0.40125;
7/1/2016;00:00:01.6;0.27173;0.66519;0.27805;0.27911;0.00038;0.00091;-6.30676;-8.09418;0.44720;0.40378;0.50937;0.51245;0.60568;0.69339;0.43076;0.40115;
7/1/2016;00:00:01.8;0.27197;0.66507;0.27798;0.27945;0.00343;-0.00015;-6.30463;-8.09723;0.44696;0.40381;0.50940;0.51230;0.60565;0.69351;0.43112;0.40143;
7/1/2016;00:00:02.0;0.27197;0.66516;0.27817;0.27933;-0.00451;0.00091;-6.30524;-8.09723;0.44687;0.40396;0.50940;0.51221;0.60541;0.69366;0.43100;0.40146;
7/1/2016;00:00:02.2;0.27197;0.66519;0.27795;0.27930;-0.00084;0.00015;-6.30524;-8.09509;0.44705;0.40408;0.50934;0.51233;0.60559;0.69370;0.43121;0.40131;
7/1/2016;00:00:02.4;0.27185;0.66483;0.27783;0.27917;0.00038;0.00046;-6.30554;-8.09387;0.44699;0.40402;0.50928;0.51233;0.60562;0.69376;0.43118;0.40149;
